agpID,latin_text
AGP-EDR168157,Syncletus
AGP-EDR179258,Ionaei
AGP-EDR148521,December bene futuis
AGP-EDR180321,Modios
AGP-EDR180545,"Fur cave
SIQ"
AGP-EDR175241,Repentinus
AGP-EDR175776,XX Heraclae
AGP-EDR168638,Ante
AGP-EDR189988,"Alce, valeas qui mereris"
AGP-EDR192646,B A
AGP-EDR176978,qui COV
AGP-EDR192996,Roma
AGP-EDR151775,Anicetus
AGP-EDR160128,Aeneia
AGP-EDR151804,Saeculares
AGP-EDR147137,Iar
AGP-EDR159382,Venimus
AGP-EDR166095,XV
AGP-EDR161821,Venus Venus
AGP-EDR166088,IIIIIIIII
AGP-EDR166082,XXXXXIII
AGP-EDR166074,IIIIIIIIIII
AGP-EDR166072,IIIIIIII
AGP-EDR193445,Crescens
AGP-EDR151854,Anumrub
AGP-EDR168479,Hic iudices
AGP-EDR168363,"IOCHV
TIYS"
AGP-EDR167861,III IIIIII
AGP-EDR167880,NC
AGP-EDR189991,Romanus
AGP-EDR159786,Arma virumque
AGP-EDR160123,Aeneadum genetrix
AGP-EDR192649,BA
AGP-EDR192644,AB
AGP-EDR192940,Marcinus
AGP-EDR193944,Sabinus
AGP-EDR167651,MV
AGP-EDR193446,Atimetus
AGP-EDR168282,Suavis
AGP-EDR167690,"Sabidia
Abonius"
AGP-EDR180325,Canamus
AGP-EDR127140,"Nonnius


"
AGP-EDR145430,"Hic ego puellas multas
futui"
AGP-EDR146891,Restituta bellis moribus
AGP-EDR127826,Prima
AGP-EDR150494,Fortunata fellat
AGP-EDR149148,"Luci Augustiane
ab prop"
AGP-EDR151714,Mulus hic muscellas docuit
AGP-EDR159678,Conticuere omnes
AGP-EDR168643,TI CAADI
AGP-EDR160126,Aeneia nutrix
AGP-EDR175486,"ROMA
OLIM
MILO
AMOR"
AGP-EDR175871,"M
TB"
AGP-EDR189393,NEREV Augustiane
AGP-EDR187553,"quisquis amat calidis non debet fontibus uti
nam nemo flammas ustus amare potest"
AGP-EDR193811,Cissus pedico
AGP-EDR149286,venimus
AGP-EDR193124,"Lascivos voltus et blandos aufer ocellos
coniuge ab alterius, sit tibi in ore pudor"
AGP-EDR166065,IIIIIIIII
AGP-EDR128286,Fortis
